CompanyName,Year,Sales,OperatingProfit,NetIncome,OperatingActivitiesCashFlow,InvestmentActivitiesCashFlow,FinancialActivitiesCashFlow,AccountsReceivable,AccountsReceivableTurnover,AccountsReceivableTurnoverDays,CostofGoodsSold,Inventory,InventoryTurnover,InventoryTurnoverDays,InventoryTotalAssets,TotalBorrowings,FinancialCosts,TotalLiabilities,TotalCapital,DebtRatio,Bankruptcy
넥센,2017,11732753506 ,20061912296 ,37984229289 ,-16381604940 ,36420059834 ,-17099833632 ,51541467920 ,0.23 ,1603.43 ,191964644836 ,16120626096 ,11.91 ,30.65 ,653953607575 ,43081242662 ,3226442214 ,116309917472 ,653953607575 ,0.18 ,0
넥센타이어,2013,1380223433905 ,142568989816 ,111929477795 ,168832386762 ,-258085105768 ,104409015740 ,287754700880 ,4.80 ,76.10 ,993046348227 ,154711755233 ,6.42 ,56.87 ,1905328798011 ,819305650264 ,64104352159 ,1127248622887 ,1905328798011 ,0.59 ,0
넥센타이어,2014,1382130416066 ,150841776659 ,115184721657 ,247030865646 ,-301708218935 ,35395063513 ,313389798233 ,4.41 ,82.76 ,952231058972 ,132328337839 ,7.20 ,50.72 ,2136299587416 ,869953700008 ,75758412164 ,1240012851345 ,2136299587416 ,0.58 ,0
넥센타이어,2015,1468926730352 ,175712454772 ,124765857391 ,253471332955 ,-111076892987 ,-105138995540 ,364168052600 ,4.03 ,90.49 ,982433813794 ,121864153062 ,8.06 ,45.28 ,2188678777569 ,779482708116 ,78516252070 ,1197451746651 ,2188678777569 ,0.55 ,0
넥센타이어,2016,1490685587008 ,187173905011 ,145435113186 ,332954968258 ,-108161331631 ,-210334871611 ,31263860831 ,47.68 ,7.66 ,981027963137 ,114930013435 ,8.54 ,42.76 ,2226364295680 ,509290954131 ,64193616448 ,1093179551556 ,2226364295680 ,0.49 ,0
넥센타이어,2017,1537843987911 ,152775800161 ,117313465196 ,215954296686 ,-187402683247 ,-56193544000 ,36688742682 ,41.92 ,8.71 ,1060308001166 ,137587393918 ,7.71 ,47.36 ,2292876138295 ,342778563340 ,81832959772 ,1013754359805 ,2292876138295 ,0.44 ,0
넥센테크,2013,59339526329 ,990501549 ,1488647366 ,-1400547711 ,1747554117 ,-1530655034 ,8821310512 ,6.73 ,54.26 ,55531309277 ,10543539644 ,5.27 ,69.30 ,53792155656 ,860600658 ,98355488 ,12642299201 ,53792155656 ,0.24 ,0
넥센테크,2014,72617255829 ,2165656970 ,4951161744 ,-7264074787 ,8398600351 ,1654164657 ,16362806264 ,4.44 ,82.25 ,67088673940 ,16689153495 ,4.02 ,90.80 ,61100035280 ,2912671870 ,160808060 ,18593477424 ,61100035280 ,0.30 ,0
넥센테크,2015,94203121015 ,2619491075 ,2039152917 ,6090314472 ,-1108056591 ,-3551455424 ,16824832956 ,5.60 ,65.19 ,88495257685 ,13073100341 ,6.77 ,53.92 ,60073445427 ,455373222 ,147775271 ,16615234654 ,60073445427 ,0.28 ,0
넥센테크,2016,81961408867 ,3747706010 ,3723520395 ,8460960411 ,-5971036782 ,-1727561060 ,16274756152 ,5.04 ,72.48 ,74892832981 ,10699809802 ,7.00 ,52.15 ,64300652134 ,187842639 ,74207406 ,18568920966 ,64300652134 ,0.29 ,0
넥스트BT,2013,24337647622 ,-443581003 ,-1283626424 ,136644487 ,-4027498845 ,3175781918 ,1812697519 ,13.43 ,27.19 ,10203999846 ,825947812 ,12.35 ,29.54 ,39161587537 ,6605806927 ,570889804 ,8466154816 ,39161587537 ,0.22 ,0
넥스트BT,2014,35201852596 ,62100501 ,-164819018 ,-1338259949 ,-2484083941 ,2287900977 ,1599729616 ,22.00 ,16.59 ,13072774628 ,1676225532 ,7.80 ,46.80 ,41685898281 ,3800000000 ,577648320 ,5120807806 ,41685898281 ,0.12 ,0
넥스트BT,2015,23410134847 ,-1460962673 ,-5482842457 ,147689298 ,-3897703235 ,2778414921 ,1020245502 ,22.95 ,15.91 ,8831400676 ,3876231471 ,2.28 ,160.20 ,39295911566 ,2590000000 ,395110530 ,5233465712 ,39295911566 ,0.13 ,0
넥스트BT,2016,37454675125 ,216154944 ,-4619827397 ,-275550100 ,-9339444714 ,11828423541 ,1130292190 ,33.14 ,11.01 ,17235997116 ,3802006205 ,4.53 ,80.51 ,47956950769 ,12107885224 ,557143483 ,17232091782 ,47956950769 ,0.36 ,0
넥스트BT,2017,42545194029 ,-279619405 ,-5515777546 ,32180929 ,2677332549 ,-300000000 ,2172003351 ,19.59 ,18.63 ,22203087641 ,3066489426 ,7.24 ,50.41 ,43731687796 ,1120000000 ,881906332 ,18333359132 ,43731687796 ,0.42 ,0
넥스트아이,2016,22779238827 ,660358198 ,1070110586 ,2908394338 ,-41285063969 ,39071921900 ,830594836 ,27.43 ,13.31 ,16825673634 ,1472660336 ,11.43 ,31.95 ,84181290162 ,187460000 ,888344526 ,25596924158 ,84181290162 ,0.30 ,0
넥스트아이,2017,26394170577 ,-1018815046 ,-2569261475 ,361855918 ,-25092717320 ,30401372850 ,4032242774 ,6.55 ,55.76 ,19268842963 ,1185308943 ,16.26 ,22.45 ,112900563193 ,12000000000 ,3458521480 ,47705374456 ,112900563193 ,0.42 ,0
넥스트칩,2013,36693560093 ,-11937390191 ,-18609882822 ,-2103796108 ,2108315442 ,-67032772 ,1293762559 ,28.36 ,12.87 ,31434863199 ,4119075152 ,7.63 ,47.83 ,57558695944 ,6502523268 ,1769230225 ,9056617028 ,57558695944 ,0.16 ,0
넥스트칩,2014,35866618058 ,-2695143577 ,-1907041084 ,-232713655 ,5460044483 ,-2110600000 ,1103310980 ,32.51 ,11.23 ,22075547717 ,5542063047 ,3.98 ,91.63 ,56145766267 ,4322087285 ,429482989 ,9271729820 ,56145766267 ,0.17 ,0
넥스트칩,2015,63174936160 ,8374826515 ,8804942828 ,6563773059 ,-5201445944 ,0 ,1382988883 ,45.68 ,7.99 ,38779946664 ,9107311904 ,4.26 ,85.72 ,65823023259 ,4102000000 ,621691492 ,10122189569 ,65823023259 ,0.15 ,0
녹십자,2013,793754168560 ,70623235120 ,68451075001 ,23956629881 ,-60949176761 ,43442254999 ,231222603879 ,3.43 ,106.33 ,540592011153 ,234554975567 ,2.30 ,158.37 ,1040802953702 ,7483692313 ,1240764250 ,217568485862 ,1040802953702 ,0.21 ,0
녹십자,2014,854258392723 ,86810095291 ,60660754165 ,53353499315 ,-158018253595 ,108592281650 ,216961707787 ,3.94 ,92.70 ,570164819851 ,279718487294 ,2.04 ,179.07 ,1232228381974 ,110451027881 ,7122637297 ,364496150017 ,1232228381974 ,0.30 ,0
녹십자,2015,912910939629 ,84905264879 ,110601286317 ,60913848638 ,10642954498 ,-47930365791 ,256961827282 ,3.55 ,102.74 ,603338542487 ,302826358195 ,1.99 ,183.20 ,1323117870079 ,40000000000 ,9760615934 ,361134610535 ,1323117870079 ,0.27 ,0
녹십자셀,2016,11908636959 ,1679011406 ,-93038464 ,2880883398 ,-5948221088 ,-314925506 ,5856301007 ,2.03 ,179.50 ,7034017350 ,2691479314 ,2.61 ,139.66 ,51749174185 ,8329370239 ,684142738 ,12558942471 ,51749174185 ,0.24 ,0
녹십자셀,2017,19536787344 ,3188818006 ,717889480 ,8519219105 ,-78461686405 ,68815904550 ,5215982363 ,3.75 ,97.45 ,10288783559 ,1352797694 ,7.61 ,47.99 ,120409037780 ,61029832604 ,849059914 ,72249633264 ,120409037780 ,0.60 ,0
녹십자엠에스,2013,61986425327 ,2798541651 ,2178149120 ,3848338931 ,-5296370764 ,1886321314 ,21346010678 ,2.90 ,125.69 ,50391470776 ,9322953640 ,5.41 ,67.53 ,42955850793 ,11056391193 ,815574420 ,26703066466 ,42955850793 ,0.62 ,0
녹십자엠에스,2014,81334576119 ,4449465880 ,3716911629 ,-2217651644 ,-3528310684 ,4260653383 ,25752685139 ,3.16 ,115.57 ,66364387580 ,13280117157 ,5.00 ,73.04 ,52098525768 ,3425132876 ,459875354 ,20595224187 ,52098525768 ,0.40 ,0
녹십자엠에스,2015,89301322304 ,1627463448 ,695174773 ,-4378985983 ,-8540099642 ,13282448636 ,27812100011 ,3.21 ,113.68 ,76280905142 ,16226975883 ,4.70 ,77.65 ,67895027416 ,17185581512 ,677408738 ,36240400854 ,67895027416 ,0.53 ,0
녹십자엠에스,2016,86162555207 ,-945341240 ,-2046519894 ,9991915427 ,-2522529955 ,-6885581512 ,23656860964 ,3.64 ,100.21 ,73592819215 ,12529199980 ,5.87 ,62.14 ,60320732894 ,10300000000 ,1129072267 ,30855938648 ,60320732894 ,0.51 ,0
녹십자엠에스,2017,98107431450 ,543208831 ,-2850890367 ,3254568881 ,-205489850 ,-994726685 ,24027325823 ,4.08 ,89.39 ,83090903921 ,11278442038 ,7.37 ,49.54 ,57624086520 ,9994197488 ,1060777817 ,31530164946 ,57624086520 ,0.55 ,0
누리텔레콤,2013,32167242987 ,2299614278 ,6675095485 ,-416057980 ,11651109154 ,-3141319896 ,10329731247 ,3.11 ,117.21 ,20076171461 ,917116038 ,21.89 ,16.67 ,62247362737 ,13500000000 ,708438490 ,22320830756 ,62247362737 ,0.36 ,0
누리텔레콤,2014,34484982913 ,3050774608 ,2089338480 ,594979506 ,417600511 ,2251038896 ,10221953960 ,3.37 ,108.19 ,20123195941 ,1753597068 ,11.48 ,31.81 ,62994821621 ,15203760000 ,516272696 ,20980180228 ,62994821621 ,0.33 ,0
누리텔레콤,2015,53246868313 ,10402841800 ,6298641391 ,-465534936 ,-2322104841 ,-5406302465 ,21801023040 ,2.44 ,149.44 ,30012236790 ,3887749605 ,7.72 ,47.28 ,65554569198 ,9517246352 ,455044442 ,17266395892 ,65554569198 ,0.26 ,0
누리텔레콤,2016,47591730670 ,8834737660 ,6476003321 ,16822899198 ,-8541587132 ,4339922578 ,16404620280 ,2.90 ,125.81 ,25107418597 ,3327664726 ,7.55 ,48.38 ,78999298510 ,12290000000 ,244668663 ,24343384273 ,78999298510 ,0.31 ,0
누리텔레콤,2017,96144114022 ,3095622717 ,-4707188197 ,-10278551203 ,-20513234192 ,23203074061 ,37490792242 ,2.56 ,142.33 ,70558169439 ,20757855635 ,3.40 ,107.38 ,129899287667 ,29241289266 ,988017285 ,79948612519 ,129899287667 ,0.62 ,0
누리플랜,2016,34411740563 ,725986693 ,2371420342 ,-2110662903 ,2005353791 ,1708318761 ,9835360737 ,3.50 ,104.32 ,28049261749 ,1186660941 ,23.64 ,15.44 ,35390012839 ,8719325981 ,270399257 ,15997002389 ,35390012839 ,0.45 ,0
누리플랜,2017,34578600823 ,482504460 ,28437096 ,545423947 ,-357987099 ,450569371 ,13714839439 ,2.52 ,144.77 ,27641029643 ,686544574 ,40.26 ,9.07 ,38784726626 ,5361469137 ,277680840 ,17929546651 ,38784726626 ,0.46 ,0
뉴로스,2013,35216761871 ,4160114700 ,2180504107 ,2955724267 ,-7603982179 ,4752520000 ,28534416462 ,1.23 ,295.74 ,19523171259 ,9322229970 ,2.09 ,174.29 ,65920343053 ,20423500000 ,1788692590 ,29233585091 ,65920343053 ,0.44 ,0
뉴로스,2014,31790310975 ,-948267465 ,-1226219661 ,-9734968956 ,1842275927 ,12281417241 ,30707207453 ,1.04 ,352.56 ,17074347270 ,14644864088 ,1.17 ,313.06 ,76116506516 ,30572242913 ,1180349622 ,37324824492 ,76116506516 ,0.49 ,0
뉴로스,2015,36390861563 ,1177782800 ,1076976808 ,3470163222 ,-6554744253 ,-449031723 ,29120796728 ,1.25 ,292.08 ,24049105977 ,18130437973 ,1.33 ,275.17 ,77282344640 ,12281520000 ,896136683 ,26748239673 ,77282344640 ,0.35 ,0
뉴로스,2016,42756080017 ,2492596977 ,2193912894 ,6132533214 ,-13662123049 ,11719692390 ,31450086953 ,1.36 ,268.48 ,26376099125 ,16217633645 ,1.63 ,224.42 ,94183416717 ,22889053000 ,1042392901 ,40914138070 ,94183416717 ,0.43 ,0
뉴로스,2017,42061541893 ,2175723933 ,-5593504334 ,-8231828693 ,-13512725623 ,23512443160 ,36333623443 ,1.16 ,315.29 ,28809215276 ,16584374041 ,1.74 ,210.12 ,114416808997 ,32547870000 ,3179621105 ,58134008520 ,114416808997 ,0.51 ,0
뉴보텍,2013,34890438137 ,401940834 ,289433684 ,3715842631 ,-1065325434 ,159374313 ,6303767236 ,5.53 ,65.95 ,25793305922 ,2795047916 ,9.23 ,39.55 ,26547395903 ,6574945666 ,361084726 ,11376122735 ,26547395903 ,0.43 ,0
뉴보텍,2014,30747556566 ,-585101752 ,-666926933 ,-537530963 ,-1561646313 ,193471427 ,5556981518 ,5.53 ,65.97 ,22101884568 ,4321004513 ,5.11 ,71.36 ,26058673153 ,5868419433 ,307150677 ,10904612875 ,26058673153 ,0.42 ,0
뉴보텍,2015,35061345554 ,1076944461 ,658487105 ,4630517164 ,-1846833144 ,-95183643 ,5069244669 ,6.92 ,52.77 ,24606539680 ,3137954110 ,7.84 ,46.55 ,27355762471 ,5773235790 ,435183488 ,11593692789 ,27355762471 ,0.42 ,0
뉴보텍,2016,35898522121 ,779223341 ,606254073 ,1213238812 ,-1293933858 ,786363055 ,6820931931 ,5.26 ,69.35 ,23950713219 ,2846116021 ,8.42 ,43.37 ,29908546478 ,6557598845 ,179435742 ,13508218270 ,29908546478 ,0.45 ,0
뉴보텍,2017,41019670243 ,-1477913294 ,-1333097112 ,-2521646063 ,-2249225953 ,-48587618 ,9943864867 ,4.13 ,88.48 ,30467821506 ,2455661147 ,12.41 ,29.42 ,29055122457 ,6496261227 ,237797616 ,13570627336 ,29055122457 ,0.47 ,0
뉴인텍,2013,50639548541 ,-1801654490 ,-3025234111 ,-401879495 ,-794065640 ,-306366716 ,10919566619 ,4.64 ,78.71 ,47919266836 ,5996510580 ,7.99 ,45.68 ,56612201426 ,27400328094 ,1434509773 ,36295536844 ,56612201426 ,0.64 ,0
뉴인텍,2014,52305382238 ,-3009737220 ,-4020852123 ,-2562330620 ,70140393 ,1797481729 ,11321521549 ,4.62 ,79.00 ,50565298480 ,6485143997 ,7.80 ,46.81 ,54833196816 ,24707267863 ,1407181019 ,34374266867 ,54833196816 ,0.63 ,0
뉴인텍,2015,46543660387 ,718018955 ,-240468163 ,3710780850 ,-1702579014 ,-2341944555 ,11181019229 ,4.16 ,87.68 ,41550251492 ,5931171026 ,7.01 ,52.10 ,52671452047 ,22365323308 ,1205433534 ,32230237143 ,52671452047 ,0.61 ,0
뉴인텍,2016,43567641923 ,-3160114887 ,-9653746478 ,-1346986668 ,-2850982565 ,5026531996 ,9164885466 ,4.75 ,76.78 ,41859299901 ,6253370097 ,6.69 ,54.53 ,43381913540 ,15315312314 ,1080307831 ,24295374059 ,43381913540 ,0.56 ,0
뉴인텍,2017,43807311506 ,-1509935704 ,-3699509866 ,1063947372 ,-2846320519 ,1528223824 ,8104179039 ,5.41 ,67.52 ,41287460977 ,6392525319 ,6.46 ,56.51 ,42219720113 ,16443540138 ,958550598 ,27599211233 ,42219720113 ,0.65 ,0
뉴트리바이오텍,2013,38441663945 ,3242210953 ,2250389647 ,2948065647 ,-9244439609 ,6217179601 ,5604443219 ,6.86 ,53.21 ,31572123630 ,3473951267 ,9.09 ,40.16 ,33324769010 ,13499535103 ,562426825 ,22862899305 ,33324769010 ,0.69 ,0
뉴트리바이오텍,2014,45408925244 ,3578781916 ,2387559049 ,3824126080 ,-10061066699 ,6728567719 ,6832598295 ,6.65 ,54.92 ,37643781903 ,5339837773 ,7.05 ,51.78 ,45118184487 ,20671165804 ,709100266 ,32576363736 ,45118184487 ,0.72 ,0
뉴트리바이오텍,2015,74433250685 ,11396116396 ,8923304264 ,12203777447 ,-38505324726 ,44956509679 ,9285187978 ,8.02 ,45.53 ,56651344026 ,6593873827 ,8.59 ,42.48 ,104612881819 ,22008335715 ,1042023456 ,40219992036 ,104612881819 ,0.38 ,0
뉴프렉스,2013,136215981524 ,1399517599 ,-3576001191 ,-4365493365 ,-9300115431 ,14595685372 ,20921693524 ,6.51 ,56.06 ,125084583545 ,26031380358 ,4.81 ,75.96 ,101678380458 ,36867150134 ,2804693997 ,65773340455 ,101678380458 ,0.65 ,0
뉴프렉스,2014,137736590178 ,3361441828 ,1968887796 ,6998916499 ,-6520581199 ,173446608 ,23247407304 ,5.92 ,61.61 ,124999181939 ,22540847028 ,5.55 ,65.82 ,100900970007 ,34746440368 ,2822867718 ,63057257026 ,100900970007 ,0.62 ,0
뉴프렉스,2015,119119899249 ,-1818018828 ,-2016479701 ,-1292244126 ,-5733070285 ,6939065027 ,28687979491 ,4.15 ,87.90 ,111746532162 ,29770881709 ,3.75 ,97.24 ,119839861956 ,42489033732 ,2465054982 ,78333859079 ,119839861956 ,0.65 ,0
다믈멀티미디어,2013,24466403480 ,636575673 ,295436171 ,2153356243 ,-1763018627 ,-674101400 ,2158082222 ,11.34 ,32.20 ,17725853954 ,991835340 ,17.87 ,20.42 ,11146083682 ,839000000 ,377986425 ,5539460014 ,11146083682 ,0.50 ,0
다믈멀티미디어,2014,26471753347 ,563663707 ,511376997 ,330838770 ,-1403304405 ,-61070580 ,1177244191 ,22.49 ,16.23 ,18961858830 ,2411657130 ,7.86 ,46.42 ,11645683862 ,818500000 ,350017764 ,5330216070 ,11645683862 ,0.46 ,0
다믈멀티미디어,2015,24210168054 ,-1117246999 ,-1388875259 ,437768111 ,-2074854784 ,4447193074 ,620641288 ,39.01 ,9.36 ,18413545032 ,1369461274 ,13.45 ,27.15 ,13920596954 ,2955650000 ,395972815 ,6525417288 ,13920596954 ,0.47 ,0
다믈멀티미디어,2016,25657732038 ,168641731 ,82419626 ,1285069152 ,-1258530401 ,101719110 ,983952781 ,26.08 ,14.00 ,18523196246 ,784084287 ,23.62 ,15.45 ,14859737619 ,2760240000 ,497109453 ,6797020290 ,14859737619 ,0.46 ,0
다믈멀티미디어,2017,18332540852 ,-2805666771 ,-4149205476 ,-3668229647 ,344166930 ,1489996720 ,732565995 ,25.03 ,14.59 ,13208018622 ,1044783812 ,12.64 ,28.87 ,11051907785 ,3100000000 ,1166461311 ,6982972434 ,11051907785 ,0.63 ,0
다산네트웍스,2013,130807734782 ,5950334661 ,3325276549 ,-5885557371 ,-5039246788 ,24440431997 ,39684699458 ,3.30 ,110.73 ,83932711210 ,17917686395 ,4.68 ,77.92 ,199702691440 ,36013392289 ,5663787287 ,63363133659 ,199702691440 ,0.32 ,0
다산네트웍스,2014,154856147279 ,2390375183 ,333427510 ,-21307772055 ,-12258710178 ,18835677264 ,61873731478 ,2.50 ,145.84 ,106498855603 ,19461240132 ,5.47 ,66.70 ,228282549988 ,53445905203 ,11218539064 ,91269065895 ,228282549988 ,0.40 ,0
다산네트웍스,2015,59580716849 ,179417243 ,-2123536067 ,1815839208 ,-27574459879 ,24517676255 ,18423115852 ,3.23 ,112.86 ,43388171016 ,2460222291 ,17.64 ,20.70 ,252105755644 ,44903178855 ,11819178488 ,114591693322 ,252105755644 ,0.45 ,0
다우기술,2016,214671851049 ,22006451894 ,24120616498 ,24258137718 ,-40965000728 ,-37489954470 ,33123280364 ,6.48 ,56.32 ,175753151223 ,1009151321 ,174.16 ,2.10 ,703515981782 ,59900000000 ,4486907411 ,215954231001 ,703515981782 ,0.31 ,0
다우기술,2017,181903765524 ,20671803454 ,21994320836 ,26297505430 ,-5726536022 ,-20816586950 ,28402988402 ,6.40 ,56.99 ,145484562901 ,414577537 ,350.92 ,1.04 ,705654328692 ,49900000000 ,4022479924 ,205801612570 ,705654328692 ,0.29 ,0
다우데이타,2013,92670772179 ,3891937333 ,5097834965 ,356253660 ,-22993191175 ,-10147263106 ,26079316411 ,3.55 ,102.72 ,77541917744 ,6824579244 ,11.36 ,32.12 ,239309227716 ,99012314001 ,2853076298 ,129191046886 ,239309227716 ,0.54 ,0
다우데이타,2014,128466738400 ,9500055743 ,8737675629 ,810137708 ,-15272976424 ,-7130377540 ,31256513645 ,4.11 ,88.81 ,105812479045 ,8151227476 ,12.98 ,28.12 ,245031719200 ,94266981821 ,2883886326 ,130952347620 ,245031719200 ,0.53 ,0
다우데이타,2015,133416736574 ,8144691077 ,6552581154 ,11952689325 ,-3573139017 ,-8132408232 ,28630234314 ,4.66 ,78.33 ,111738397785 ,7265856783 ,15.38 ,23.73 ,244160535294 ,70000000000 ,2391524993 ,111184681318 ,244160535294 ,0.46 ,0
다우데이타,2016,107492138993 ,2178313890 ,-4899118777 ,13936430720 ,-25564005168 ,34238501000 ,15343933089 ,7.01 ,52.10 ,93701075989 ,4256415915 ,22.01 ,16.58 ,271676479172 ,80000000000 ,1796594509 ,119291168999 ,271676479172 ,0.44 ,0
다우데이타,2017,151156994583 ,6083163900 ,7967928920 ,18699375184 ,-2415815669 ,-8846053553 ,19307755024 ,7.83 ,46.62 ,129780083850 ,7728109911 ,16.79 ,21.73 ,276363963201 ,74983946447 ,2358694036 ,120113663440 ,276363963201 ,0.43 ,0
다우인큐브,2013,22200001645 ,1026558318 ,685250000 ,18992946 ,-817163368 ,534901611 ,5464382960 ,4.06 ,89.84 ,15780276005 ,1691051157 ,9.33 ,39.11 ,28014608802 ,6624775000 ,667975805 ,12938817434 ,28014608802 ,0.46 ,0
다우인큐브,2014,20010522281 ,2000598695 ,3148507786 ,2187917273 ,-664789039 ,-130276156 ,6784808670 ,2.95 ,123.76 ,13016862065 ,2943275908 ,4.42 ,82.53 ,34949582905 ,3824380000 ,636171633 ,14354105525 ,34949582905 ,0.41 ,0
다우인큐브,2015,23289240309 ,1008045608 ,9193005873 ,-1574805693 ,4204622131 ,-5278876210 ,9235469448 ,2.52 ,144.74 ,16665830523 ,1219210607 ,13.67 ,26.70 ,43289173730 ,1379000000 ,603803624 ,11350695211 ,43289173730 ,0.26 ,0
다원시스,2013,51369429503 ,7214801039 ,5635920095 ,5836359398 ,-3941740782 ,-1447529511 ,24591778646 ,2.09 ,174.73 ,32625519845 ,620606509 ,52.57 ,6.94 ,87954780786 ,27200000000 ,1022907468 ,35442972413 ,87954780786 ,0.40 ,0
다원시스,2014,52004631349 ,6790337483 ,5796512656 ,17642044144 ,-34434827025 ,22024335823 ,20883753717 ,2.49 ,146.57 ,33866608165 ,506417404 ,66.87 ,5.46 ,120220019609 ,43459000000 ,361107846 ,57088067268 ,120220019609 ,0.47 ,0
다원시스,2015,65474634342 ,8274041861 ,8717679511 ,-7663090558 ,-58756298355 ,67196849886 ,30497019479 ,2.15 ,170.01 ,43067424992 ,984313754 ,43.75 ,8.34 ,192676930515 ,51423000000 ,951428947 ,63500997277 ,192676930515 ,0.33 ,0
다원시스,2016,72591838251 ,9718640421 ,7423767097 ,-23481793104 ,6761045808 ,25928657786 ,80024361205 ,0.91 ,402.37 ,50223151364 ,1973740737 ,25.45 ,14.34 ,232029036566 ,64333010000 ,1645059982 ,95149588831 ,232029036566 ,0.41 ,0
다원시스,2017,115527028486 ,13320051149 ,10080079803 ,-7929391053 ,-18531790603 ,19610820443 ,107172131894 ,1.08 ,338.60 ,77729541950 ,1978912407 ,39.28 ,9.29 ,328624049543 ,75766145081 ,3229840951 ,155536126163 ,328624049543 ,0.47 ,0
대경기계기술,2013,239973516941 ,16472376245 ,9549866734 ,17702425194 ,2253337467 ,-17963753457 ,135391783064 ,1.77 ,205.93 ,210981482066 ,6633318654 ,31.81 ,11.48 ,262833067769 ,88841462274 ,7609514847 ,182881374328 ,262833067769 ,0.70 ,0
대경기계기술,2014,297335287530 ,5012603540 ,289692980 ,-7403752550 ,-4679608584 ,11210083995 ,171174112430 ,1.74 ,210.13 ,279122063450 ,4401006038 ,63.42 ,5.76 ,295677320011 ,94213289128 ,6700120454 ,217680813987 ,295677320011 ,0.74 ,0
대경기계기술,2015,223716708899 ,-12343695763 ,-15082514885 ,-18451403979 ,8050874905 ,12462208995 ,162567306133 ,1.38 ,265.23 ,213982628158 ,2836294990 ,75.44 ,4.84 ,276443469436 ,106303000000 ,6709647718 ,212173072730 ,276443469436 ,0.77 ,0
대경기계기술,2016,191355118619 ,-11504645444 ,-19305574908 ,28721117575 ,-2194477688 ,-28314710907 ,134871529838 ,1.42 ,257.26 ,186113043516 ,6144045214 ,30.29 ,12.05 ,235945207915 ,37425333330 ,5153680995 ,179288853607 ,235945207915 ,0.76 ,0
대경기계기술,2017,156189123700 ,6738188639 ,-7056505741 ,-16924155091 ,-5784991177 ,22738650880 ,105652069075 ,1.48 ,246.90 ,142349753119 ,2574900688 ,55.28 ,6.60 ,204688024615 ,30676000000 ,5837231291 ,128869891740 ,204688024615 ,0.63 ,0
대덕GDS,2017,456605885011 ,30114210683 ,29996977251 ,43878383107 ,-28014325705 ,-5580224400 ,113021932056 ,4.04 ,90.35 ,405444731843 ,40417495826 ,10.03 ,36.39 ,553128068347 ,1000000000 ,414954716 ,79837248559 ,553128068347 ,0.14 ,0
대덕전자,2017,512147273125 ,30578169607 ,35608233962 ,68947879424 ,-57568582486 ,-6213527000 ,55954485262 ,9.15 ,39.88 ,457948060546 ,48903162551 ,9.36 ,38.98 ,607099316074 ,6280000000 ,23364473 ,87033442514 ,607099316074 ,0.14 ,0
대동공업,2013,475551406714 ,3771865442 ,-4196774306 ,16521273193 ,-12107222828 ,-4508619223 ,124558458365 ,3.82 ,95.60 ,398775450955 ,106941586292 ,3.73 ,97.88 ,489594789299 ,133362995992 ,4770652495 ,284218855495 ,489594789299 ,0.58 ,0
대동공업,2014,505157733724 ,6243087752 ,4010701895 ,-31838299069 ,-17606817061 ,50818943307 ,226046068111 ,2.23 ,163.33 ,414755642377 ,118215114261 ,3.51 ,104.03 ,603838911953 ,191247573015 ,9061095270 ,395347128012 ,603838911953 ,0.65 ,0
대동공업,2015,462238437621 ,-948424844 ,-559063742 ,5917600941 ,-17772191429 ,10831389506 ,154363619168 ,2.99 ,121.89 ,365890412830 ,166589651949 ,2.20 ,166.18 ,579538912328 ,211074212668 ,8674389661 ,373172238206 ,579538912328 ,0.64 ,0
대동공업,2016,463775799581 ,-19726431283 ,-19919187790 ,11924422703 ,-9066361469 ,-3433489524 ,159855221710 ,2.90 ,125.81 ,380653038643 ,131809533575 ,2.89 ,126.39 ,539759118017 ,170757306870 ,8347113580 ,353456446239 ,539759118017 ,0.65 ,0
대동공업,2017,453491142482 ,7907622938 ,4393140076 ,39111344959 ,-19799342359 ,-19748098037 ,167691523344 ,2.70 ,134.97 ,370768771121 ,132849585045 ,2.79 ,130.78 ,558502936627 ,172243849800 ,7071265371 ,371761087260 ,558502936627 ,0.67 ,0
대동금속,2013,58999113125 ,873448695 ,392641469 ,6346712920 ,-1979796638 ,-4661383935 ,6994003434 ,8.44 ,43.27 ,54373995182 ,4690178916 ,11.59 ,31.48 ,48017056582 ,15019935616 ,825068657 ,30327467400 ,48017056582 ,0.63 ,0
대동금속,2014,60523408352 ,1127004165 ,321113168 ,927412935 ,-6167027601 ,5241559136 ,10810681234 ,5.60 ,65.20 ,55440832668 ,5235891251 ,10.59 ,34.47 ,56893628759 ,21154948230 ,766012811 ,39157749362 ,56893628759 ,0.69 ,0
대동금속,2015,59822981007 ,2071500477 ,752431999 ,7300954200 ,-2583154601 ,-4717705869 ,8093134630 ,7.39 ,49.38 ,53409505950 ,4842349824 ,11.03 ,33.09 ,64501535773 ,17278424068 ,691413109 ,37540912715 ,64501535773 ,0.58 ,0
대동금속,2016,61096103481 ,625219389 ,-253458601 ,2122584183 ,-1054088748 ,-975778004 ,10628029050 ,5.75 ,63.49 ,56654432497 ,5206529610 ,10.88 ,33.54 ,65371059951 ,13258662304 ,624446469 ,39021048399 ,65371059951 ,0.60 ,0
대동금속,2017,74709305466 ,1607198787 ,836992928 ,1447988151 ,-2015665721 ,493591785 ,12477625838 ,5.99 ,60.96 ,68415955555 ,7713574148 ,8.87 ,41.15 ,69386121898 ,16115314775 ,522401905 ,41775561922 ,69386121898 ,0.60 ,0
